,ROUGE-Avg,ROUGE-Std,BERTScore-F1-Avg,BERTScore-F1-Std,FactCC-Score-Avg,FactCC-Score-Std,FactCC-Label-Consistency-Rate
bart_all_out,0.1635401254746848,0.05155840380948693,0.7798129286488115,0.028033372480569398,0.9481824968681961,0.09214302047787674,0.43897996357012753
bart_review_out,0.16330414068685026,0.05257493363727653,0.7794055627126294,0.02835415863504989,0.9497894792391737,0.09847193043398939,0.4098360655737705
pegasus_all_out,0.09968368842262856,0.026240339324549878,0.7153681301679767,0.020062920599071922,0.9145211821696797,0.07306244175599551,0.007285974499089253
pegasus_review_out,0.05347813143154271,0.0238986252067567,0.6712801049315864,0.02438013502264469,0.9830736435393383,0.031623359042466076,0.012750455373406194
